ZIP,ParentZIP,Type,State
00501,11742,B,NY
00544,11742,B,NY
00601,00601,,PR
00602,00602,,PR
00603,00603,,PR
00604,00603,E,PR
00605,00603,E,PR
00606,00606,,PR
00610,00610,,PR
00611,00641,E,PR
00612,00612,,PR
00613,00612,E,PR
00614,00612,E,PR
00616,00616,,PR
00617,00617,,PR
00622,00622,,PR
00623,00623,,PR
00624,00757,,PR
00627,00627,,PR
00631,00631,E,PR
00636,00683,E,PR
00637,00637,,PR
00638,00638,,PR
00641,00641,,PR
00646,00646,,PR
00647,00647,,PR
00650,00650,,PR
00652,00652,,PR
00653,00653,,PR
00656,00656,,PR
00659,00659,,PR
00660,00660,,PR
00662,00662,,PR
00664,00664,,PR
00667,00667,,PR
00669,00669,,PR
00670,00670,,PR
00674,00674,,PR
00676,00676,,PR
00677,00677,,PR
00678,00678,,PR
00680,00680,,PR
00681,00680,E,PR
00682,00680,,PR
00683,00683,,PR
00685,00685,,PR
00687,00687,,PR
00688,00688,,PR
00690,00690,,PR
00692,00692,,PR
00693,00693,,PR
00694,00693,E,PR
00698,00698,,PR
00703,00703,,PR
00704,00704,,PR
00705,00705,,PR
00707,00707,,PR
00714,00714,,PR
00715,00716,,PR
00716,00716,,PR
00717,00717,,PR
00718,00718,,PR
00719,00719,,PR
00720,00720,,PR
00721,00745,E,PR
00723,00723,,PR
00725,00725,,PR
00726,00727,E,PR
00727,00725,,PR
00728,00728,,PR
00729,00729,,PR
00730,00730,,PR
00731,00730,,PR
00732,00730,E,PR
00733,00730,E,PR
00734,00730,E,PR
00735,00735,,PR
00736,00736,,PR
00737,00736,E,PR
00738,00738,,PR
00739,00739,,PR
00740,00740,,PR
00741,00741,,PR
00742,00735,,PR
00744,00791,E,PR
00745,00745,,PR
00751,00751,,PR
00754,00754,,PR
00757,00757,,PR
00765,00765,,PR
00766,00766,,PR
00767,00767,,PR
00769,00769,,PR
00771,00771,,PR
00772,00772,,PR
00773,00773,,PR
00775,00775,E,PR
00777,00777,,PR
00778,00778,,PR
00780,00780,,PR
00782,00782,,PR
00783,00783,,PR
00784,00784,,PR
00785,00784,E,PR
00786,00705,E,PR
00791,00791,,PR
00792,00791,E,PR
00794,00794,,PR
00795,00795,,PR
00801,00802,E,VI
00802,00802,,VI
00803,00802,E,VI
00804,00802,E,VI
00805,00802,E,VI
00820,00820,,VI
00821,00820,E,VI
00822,00820,E,VI
00823,00820,E,VI
00824,00820,E,VI
00830,00830,,VI
00831,00830,E,VI
00840,00840,,VI
00841,00840,E,VI
00850,00850,,VI
00851,00850,E,VI
00901,00901,,PR
00902,00901,E,PR
00906,00901,E,PR
00907,00907,,PR
00908,00907,E,PR
00909,00909,,PR
00910,00907,E,PR
00911,00911,,PR
00912,00912,,PR
00913,00913,,PR
00914,00911,E,PR
00915,00915,,PR
00916,00901,E,PR
00917,00917,,PR
00918,00918,,PR
00919,00918,E,PR
00920,00920,,PR
00921,00921,,PR
00922,00901,E,PR
00923,00923,,PR
00924,00924,,PR
00925,00923,,PR
00926,00926,,PR
00927,00927,,PR
00928,00925,E,PR
00929,00913,E,PR
00930,00911,E,PR
00931,00925,E,PR
00933,00901,E,PR
00934,00934,,PR
00935,00911,B,PR
00936,00901,E,PR
00937,00907,E,PR
00939,00911,B,PR
00940,00901,E,PR
00949,00949,,PR
00950,00949,E,PR
00951,00949,E,PR
00952,00952,,PR
00953,00953,,PR
00954,00953,E,PR
00955,00911,E,PR
00956,00739,,PR
00957,00956,,PR
00958,00957,E,PR
00959,00739,,PR
00960,00959,E,PR
00961,00739,,PR
00962,00962,,PR
00963,00962,E,PR
00965,00966,,PR
00966,00966,,PR
00968,00966,,PR
00969,00966,,PR
00970,00976,E,PR
00971,00966,,PR
00975,00901,B,PR
00976,00976,,PR
00977,00976,E,PR
00978,00976,E,PR
00979,00983,,PR
00981,00983,E,PR
00982,00983,,PR
00983,00983,,PR
00984,00985,E,PR
00985,00983,,PR
00986,00985,E,PR
00987,00983,,PR
00988,00985,E,PR
01001,01001,,MA
01002,01002,,MA
01003,01003,,MA
01004,01002,E,MA
01005,01005,,MA
01007,01007,,MA
01008,01008,,MA
01009,01009,E,MA
01010,01010,,MA
01011,01011,,MA
01012,01012,,MA
01013,01013,,MA
01014,01013,E,MA
01020,01020,,MA
01021,01020,E,MA
01022,01022,,MA
01026,01026,,MA
01027,01027,,MA
01028,01028,,MA
01029,01029,E,MA
01030,01030,,MA
01031,01031,,MA
01032,01032,,MA
01033,01033,,MA
01034,01034,,MA
01035,01035,,MA
01036,01036,,MA
01037,01037,E,MA
01038,01038,,MA
