Zip,State,City,County,TypeCode,RuralCode
00501,NY,Holtsville,Suffolk,b,U
00544,NY,Holtsville,Suffolk,b,U
00601,PR,Adjuntas,Adjuntas,,R
00602,PR,Aguada,Aguada,,R
00603,PR,Aguadilla,Aguadilla,,S
00604,PR,Aguadilla,Aguadilla,e,S
00605,PR,Aguadilla,Aguadilla,e,S
00606,PR,Maricao,Maricao,,R
00610,PR,Anasco,Anasco,,R
00611,PR,Angeles,Utuado,e,R
00612,PR,Arecibo,Arecibo,,S
00613,PR,Arecibo,Arecibo,e,S
00614,PR,Arecibo,Arecibo,e,S
00616,PR,Bajadero,Arecibo,,R
00617,PR,Barceloneta,Barceloneta,,R
00622,PR,Boqueron,Cabo Rojo,,R
00623,PR,Cabo Rojo,Cabo Rojo,,R
00624,PR,Penuelas,Penuelas,,R
00627,PR,Camuy,Camuy,,R
00631,PR,Castaner,Lares,e,R
00636,PR,Rosario,San German,e,S
00637,PR,Sabana Grande,Sabana Grande,,R
00638,PR,Ciales,Ciales,,R
00641,PR,Utuado,Utuado,,R
00646,PR,Dorado,Dorado,,S
00647,PR,Ensenada,Guanica,,R
00650,PR,Florida,Florida,,R
00652,PR,Garrochales,Arecibo,,R
00653,PR,Guanica,Guanica,,R
00656,PR,Guayanilla,Guayanilla,,R
00659,PR,Hatillo,Hatillo,,R
00660,PR,Hormigueros,Hormigueros,,R
00662,PR,Isabela,Isabela,,R
00664,PR,Jayuya,Jayuya,,R
00667,PR,Lajas,Lajas,,R
00669,PR,Lares,Lares,,R
00670,PR,Las Marias,Las Marias,,R
00674,PR,Manati,Manati,,R
00676,PR,Moca,Moca,,R
00677,PR,Rincon,Rincon,,R
00678,PR,Quebradillas,Quebradillas,,R
00680,PR,Mayaguez,Mayaguez,,S
00681,PR,Mayaguez,Mayaguez,e,S
00682,PR,Mayaguez,Mayaguez,,S
00683,PR,San German,San German,,R
00685,PR,San Sebastian,San Sebastian,,R
00687,PR,Morovis,Morovis,,R
00688,PR,Sabana Hoyos,Arecibo,,R
00690,PR,San Antonio,Aguadilla,,R
00692,PR,Vega Alta,Vega Alta,,R
00693,PR,Vega Baja,Vega Baja,,R
00694,PR,Vega Baja,Vega Baja,e,R
00698,PR,Yauco,Yauco,,R
00703,PR,Aguas Buenas,Aguas Buenas,,R
00704,PR,Aguirre,Salinas,,R
00705,PR,Aibonito,Aibonito,,R
00707,PR,Maunabo,Maunabo,,R
00714,PR,Arroyo,Arroyo,,R
00715,PR,Mercedita,Ponce,,S
00716,PR,Ponce,Ponce,,S
00717,PR,Ponce,Ponce,,S
00718,PR,Naguabo,Naguabo,,R
00719,PR,Naranjito,Naranjito,,R
00720,PR,Orocovis,Orocovis,,R
00721,PR,Palmer,Rio Grande,e,R
00723,PR,Patillas,Patillas,,R
00725,PR,Caguas,Caguas,,S
00726,PR,Caguas,Caguas,e,S
00727,PR,Caguas,Caguas,,S
00728,PR,Ponce,Ponce,,S
00729,PR,Canovanas,Canovanas,,R
00730,PR,Ponce,Ponce,,S
00731,PR,Ponce,Ponce,,S
00732,PR,Ponce,Ponce,e,S
00733,PR,Ponce,Ponce,e,S
00734,PR,Ponce,Ponce,e,S
00735,PR,Ceiba,Ceiba,,R
00736,PR,Cayey,Cayey,,R
00737,PR,Cayey,Cayey,e,R
00738,PR,Fajardo,Fajardo,,R
00739,PR,Cidra,Cidra,,R
00740,PR,Puerto Real,Fajardo,,R
00741,PR,Punta Santiago,Humacao,,R
00742,PR,Roosevelt Roads,Ceiba,,R
00744,PR,Rio Blanco,Naguabo,e,R
00745,PR,Rio Grande,Rio Grande,,R
00751,PR,Salinas,Salinas,,R
00754,PR,San Lorenzo,San Lorenzo,,R
00757,PR,Santa Isabel,Santa Isabel,,R
00765,PR,Vieques,Vieques,,R
00766,PR,Villalba,Villalba,,R
00767,PR,Yabucoa,Yabucoa,,R
00769,PR,Coamo,Coamo,,R
00771,PR,Las Piedras,Las Piedras,,R
00772,PR,Loiza,Loiza,,R
00773,PR,Luquillo,Luquillo,,R
00775,PR,Culebra,Culebra,e,R
00777,PR,Juncos,Juncos,,R
00778,PR,Gurabo,Gurabo,,R
00780,PR,Coto Laurel,Ponce,,S
00782,PR,Comerio,Comerio,,R
00783,PR,Corozal,Corozal,,R
00784,PR,Guayama,Guayama,,R
00785,PR,Guayama,Guayanilla,e,R
00786,PR,La Plata,Aibonito,e,R
00791,PR,Humacao,Humacao,,R
00792,PR,Humacao,Humacao,e,R
00794,PR,Barranquitas,Barranquitas,,R
00795,PR,Juana Diaz,Juana Diaz,,R
00801,VI,Saint Thomas,Saint Thomas,e,R
00802,VI,Saint Thomas,Saint Thomas,,R
00803,VI,Saint Thomas,Saint Thomas,e,R
00804,VI,Saint Thomas,Saint Thomas,e,R
00805,VI,Saint Thomas,Saint Thomas,e,R
00820,VI,Christiansted,Saint Croix,,R
00821,VI,Christiansted,Saint Croix,e,R
00822,VI,Christiansted,Saint Croix,e,R
00823,VI,Christiansted,Saint Croix,e,R
00824,VI,Christiansted,Saint Croix,e,R
00830,VI,Saint John,Saint John,,R
00831,VI,Saint John,Saint John,e,R
00840,VI,Frederiksted,Saint Croix,,R
00841,VI,Frederiksted,Saint Croix,e,R
00850,VI,Kingshill,Saint Croix,,R
00851,VI,Kingshill,Saint Croix,e,R
00901,PR,San Juan,San Juan,,S
00902,PR,San Juan,San Juan,e,S
00906,PR,San Juan,San Juan,e,S
00907,PR,San Juan,San Juan,,S
00908,PR,San Juan,San Juan,e,S
00909,PR,San Juan,San Juan,,S
00910,PR,San Juan,San Juan,e,S
00911,PR,San Juan,San Juan,,S
00912,PR,San Juan,San Juan,,S
00913,PR,San Juan,San Juan,,S
00914,PR,San Juan,San Juan,e,S
00915,PR,San Juan,San Juan,,S
00916,PR,San Juan,San Juan,e,S
00917,PR,San Juan,San Juan,,S
00918,PR,San Juan,San Juan,,S
00919,PR,San Juan,San Juan,e,S
00920,PR,San Juan,San Juan,,S
00921,PR,San Juan,San Juan,,S
00922,PR,San Juan,San Juan,e,S
00923,PR,San Juan,San Juan,,S
00924,PR,San Juan,San Juan,,S
00925,PR,San Juan,San Juan,,S
00926,PR,San Juan,San Juan,,S
00927,PR,San Juan,San Juan,,S
00928,PR,San Juan,San Juan,e,S
00929,PR,San Juan,San Juan,e,S
00930,PR,San Juan,San Juan,e,S
00931,PR,San Juan,San Juan,e,S
00933,PR,San Juan,San Juan,e,S
00934,PR,Fort Buchanan,Bayamon,,S
00935,PR,San Juan,San Juan,b,S
00936,PR,San Juan,San Juan,e,S
00937,PR,San Juan,San Juan,e,S
00939,PR,San Juan,San Juan,b,S
00940,PR,San Juan,San Juan,e,R
00949,PR,Toa Baja,Toa Baja,,S
00950,PR,Toa Baja,Toa Baja,e,S
00951,PR,Toa Baja,Toa Baja,e,S
00952,PR,Sabana Seca,Toa Baja,,S
00953,PR,Toa Alta,Toa Alta,,S
00954,PR,Toa Alta,Toa Alta,e,R
00955,PR,San Juan,San Juan,e,S
00956,PR,Bayamon,Bayamon,,U
00957,PR,Bayamon,Bayamon,,U
00958,PR,Bayamon,Bayamon,e,R
00959,PR,Bayamon,Bayamon,,U
00960,PR,Bayamon,Bayamon,e,R
00961,PR,Bayamon,Bayamon,,U
00962,PR,Catano,Catano,,S
00963,PR,Catano,Catano,e,S
00965,PR,Guaynabo,Guaynabo,,S
00966,PR,Guaynabo,Guaynabo,,S
00968,PR,Guaynabo,Guaynabo,,S
00969,PR,Guaynabo,Guaynabo,,S
00970,PR,Guaynabo,Guaynabo,e,S
00971,PR,Guaynabo,Guaynabo,,S
00975,PR,San Juan,San Juan,b,S
00976,PR,Trujillo Alto,Trujillo Alto,,S
00977,PR,Trujillo Alto,Trujillo Alto,e,S
00978,PR,Saint Just,Trujillo Alto,e,S
00979,PR,Carolina,Carolina,,S
00981,PR,Carolina,Carolina,e,S
00982,PR,Carolina,Carolina,,S
00983,PR,Carolina,Carolina,,S
00984,PR,Carolina,Carolina,e,S
00985,PR,Carolina,Carolina,,S
00986,PR,Carolina,Carolina,e,S
00987,PR,Carolina,Carolina,,S
00988,PR,Carolina,Carolina,e,S
01001,MA,Agawam,Hampden,,S
01002,MA,Amherst,Hampshire,,S
01003,MA,Amherst,Hampshire,,S
01004,MA,Amherst,Hampshire,e,S
01005,MA,Barre,Worcester,,R
01007,MA,Belchertown,Hampshire,,R
01008,MA,Blandford,Hampden,,R
01009,MA,Bondsville,Hampden,e,R
01010,MA,Brimfield,Hampden,,R
01011,MA,Chester,Hampden,,R
01012,MA,Chesterfield,Hampshire,,R
01013,MA,Chicopee,Hampden,,U
01014,MA,Chicopee,Hampden,e,U
01020,MA,Chicopee,Hampden,,S
01021,MA,Chicopee,Hampden,e,S
01022,MA,Chicopee,Hampden,,S
01026,MA,Cummington,Hampshire,,R
01027,MA,Easthampton,Hampshire,,S
01028,MA,East Longmeadow,Hampden,,S
01029,MA,East Otis,Berkshire,e,R
01030,MA,Feeding Hills,Hampden,,S
01031,MA,Gilbertville,Worcester,,R
01032,MA,Goshen,Hampshire,,R
01033,MA,Granby,Hampshire,,R
01034,MA,Granville,Hampden,,R
01035,MA,Hadley,Hampshire,,R
01036,MA,Hampden,Hampden,,R
01037,MA,Hardwick,Worcester,e,R
01038,MA,Hatfield,Hampshire,,R
01039,MA,Haydenville,Hampshire,,R
01040,MA,Holyoke,Hampden,,S
01041,MA,Holyoke,Hampden,e,S
01050,MA,Huntington,Hampshire,,R
01053,MA,Leeds,Hampshire,,S
01054,MA,Leverett,Franklin,,R
01056,MA,Ludlow,Hampden,,S
01057,MA,Monson,Hampden,,R
01059,MA,North Amherst,Hampshire,e,S
01060,MA,Northampton,Hampshire,,S
01061,MA,Northampton,Hampshire,e,S
01062,MA,Florence,Hampshire,,S
01063,MA,Northampton,Hampshire,b,S
01066,MA,North Hatfield,Hampshire,e,R
01068,MA,Oakham,Worcester,,R
01069,MA,Palmer,Hampden,,R
01070,MA,Plainfield,Hampshire,,R
01071,MA,Russell,Hampden,,R
01072,MA,Shutesbury,Franklin,,R
01073,MA,Southampton,Hampshire,,R
01074,MA,South Barre,Worcester,e,R
01075,MA,South Hadley,Hampshire,,S
01077,MA,Southwick,Hampden,,R
01079,MA,Thorndike,Hampden,e,R
01080,MA,Three Rivers,Hampden,,R
01081,MA,Wales,Hampden,,R
01082,MA,Ware,Hampshire,,R
01083,MA,Warren,Worcester,e,R
01084,MA,West Chesterfield,Hampshire,,R
01085,MA,Westfield,Hampden,,S
01086,MA,Westfield,Hampden,e,S
01088,MA,West Hatfield,Hampshire,,R
