,customerid,count,country,state,city,zip_code,lat_long,senior_citizen,partner,dependents,tenure_months,phone_service,multiple_lines,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,paperless_billing,monthly_charges,total_charges,churn_score,cltv,churn_reason,gender_female,gender_male,internet_svc_none,internet_svc_dsl,internet_svc_fiber,contract_mtm,contract_1yr,contract_2yr,pmt_meth_bank_trx_auto,pmt_meth_cc_auto,pmt_meth_echeck,pmt_meth_mail_check,churn_rsn_grp_cust_svc,churn_rsn_grp_moved,churn_rsn_grp_pricing,churn_rsn_grp_product,churn_rsn_grp_unknown,p1_phone_only,p2_phone_multi,p3_dsl_only,p4_dsl_plus,p5_dsl_bund_core,p6_dsl_bund_plus,p7_fib_bund_core,p8_fib_bund_plus,charge_trend_index,streams,pmt_meth_auto,svc_add_ons,charge_cust_index,tenure_1yr,tenure_2-4yr,tenure_4+yr,churn_value
2396,6942-LBFDP,1,United States,California,Bakersfield,93308,"35.559617, -118.925185",0,0,0,2,1,0,0,0,0,0,0,0,1,20.55,33.6,25,5629,,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1.22,0,0,0,1.13,1,0,0,0
6365,9812-GHVRI,1,United States,California,Clements,95227,"38.227285, -121.02789",0,0,0,40,1,1,0,0,0,0,0,1,0,83.85,3532.25,31,4294,,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.95,1,1,1,0.99,0,1,0,0
5898,6933-FHBZC,1,United States,California,Moreno Valley,92551,"33.88274, -117.224878",0,0,0,26,1,0,0,1,1,0,0,0,1,56.05,1553.2,46,3079,,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.94,0,0,2,0.91,0,1,0,0
12,5380-WJKOV,1,United States,California,Los Angeles,90041,"34.137412, -118.207607",0,0,1,34,1,1,0,1,1,0,1,1,1,106.35,3549.25,65,2941,Competitor offered higher download speeds,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1.02,2,0,3,1.06,0,1,0,1
5065,3969-GYXEL,1,United States,California,Berkeley,94708,"37.897743, -122.263124",0,0,0,11,1,0,1,0,0,0,0,0,0,76.4,838.7,41,4033,,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,0,0,1,0.95,1,0,0,0
4928,7733-UDMTP,1,United States,California,Fresno,93726,"36.793601, -119.761131",1,0,0,57,0,0,0,1,1,0,1,1,1,55.0,3094.05,76,4622,,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.01,2,0,2,1.27,0,0,1,0
4090,9513-DXHDA,1,United States,California,Auburn,95603,"38.912881, -121.082766",0,0,0,27,1,0,1,0,1,1,1,1,0,81.7,2212.55,39,2445,,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0,2,0,3,1.26,0,1,0,0
2892,9885-AIBVB,1,United States,California,Newcastle,95658,"38.883224, -121.15918",0,1,0,29,1,1,0,1,1,0,0,0,1,85.8,2440.25,70,2568,,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.02,0,0,3,0.86,0,1,0,0
2345,2469-DTSGX,1,United States,California,Somis,93066,"34.297628, -119.014627",1,0,0,72,1,1,0,1,1,1,1,1,0,111.65,7943.45,75,5388,,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.01,2,0,4,1.06,0,0,1,0
5797,8731-WBBMB,1,United States,California,San Diego,92117,"32.825086, -117.199424",0,1,0,26,1,0,0,1,1,1,1,1,0,81.9,2078.55,55,3350,,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.02,2,1,3,1.22,0,1,0,0
3400,6784-XYJAE,1,United States,California,Fort Irwin,92310,"35.349241, -116.770281",0,0,0,36,1,1,0,0,1,0,0,0,0,55.8,1941.5,25,4770,,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.03,0,0,2,0.88,0,1,0,0
6691,6339-YPSAH,1,United States,California,Tehama,96090,"40.021787, -122.127576",0,0,0,9,1,0,0,0,1,0,0,0,1,73.8,704.3,52,4895,,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.94,0,0,1,0.85,1,0,0,0
