ZIPCode,State,City,County,Sequence,PANCode,Latitude,Longitude,AreaCode,StateFIPS,CountyFIPS,PlaceFIPS,MSACode,TimeZone,DST,ZIPType
501,NY,Holtsville,Suffolk,1,P,40.788826,-73.040622,631,36,103,35254,5380,-5,Y,B
544,NY,Holtsville,Suffolk,1,P,40.788818,-73.040783,631,36,103,35254,5380,-5,Y,B
601,PR,Adjuntas,Adjuntas,1,P,18.165467,-66.724521,787,72,1,358,0,-4,N,
602,PR,Aguada,Aguada,1,P,18.382809,-67.186759,787,72,3,616,60,-4,N,
603,PR,Aguadilla,Aguadilla,1,P,18.43513,-67.153603,787,72,5,745,60,-4,N,
604,PR,Aguadilla,Aguadilla,1,P,18.502216,-67.136258,787,72,5,745,60,-4,N,E
605,PR,Aguadilla,Aguadilla,1,P,18.43687,-67.153766,787,72,5,745,60,-4,N,E
606,PR,Maricao,Maricao,1,P,18.186137,-66.98043,787,72,93,51270,0,-4,N,
610,PR,Anasco,Anasco,1,P,18.286779,-67.143877,787,72,11,2680,4840,-4,N,
611,PR,Angeles,Utuado,1,P,18.286944,-66.799722,787,72,141,2938,0,-4,N,E
612,PR,Arecibo,Arecibo,1,P,18.469041,-66.730564,787,72,13,3368,470,-4,N,
613,PR,Arecibo,Arecibo,1,P,18.474842,-66.7215,787,72,13,3368,470,-4,N,E
614,PR,Arecibo,Arecibo,1,P,18.456723,-66.735899,787,72,13,3368,470,-4,N,E
616,PR,Bajadero,Arecibo,1,P,18.425285,-66.676542,787,72,13,4658,470,-4,N,
617,PR,Barceloneta,Barceloneta,1,P,18.457621,-66.538854,787,72,17,5346,7440,-4,N,
622,PR,Boqueron,Cabo Rojo,1,P,18.016121,-67.170639,787,72,23,7969,4840,-4,N,
623,PR,Cabo Rojo,Cabo Rojo,1,P,18.083781,-67.152624,787,72,23,9861,4840,-4,N,
624,PR,Penuelas,Penuelas,1,P,18.00162,-66.34143,787,72,111,61074,6360,-4,N,
627,PR,Camuy,Camuy,1,P,18.486859,-66.846445,787,72,27,11925,470,-4,N,
631,PR,Adjuntas,Lares,1,A,18.1825,-66.8325,787,72,81,358,0,-4,N,E
636,PR,Rosario,San German,1,P,18.2023,-67.14031,787,72,125,72383,4840,-4,N,E
637,PR,Sabana Grande,Sabana Grande,1,P,18.084023,-66.96705,787,72,121,73544,4840,-4,N,
638,PR,Ciales,Ciales,1,P,18.338639,-66.469956,787,72,39,17773,0,-4,N,
641,PR,Utuado,Utuado,1,P,18.271407,-66.705606,787,72,141,84509,0,-4,N,
646,PR,Dorado,Dorado,1,P,18.467224,-66.267144,787,72,51,24008,7440,-4,N,
647,PR,Ensenada,Guanica,1,P,17.970021,-66.93726,787,72,55,26717,0,-4,N,
650,PR,Florida,Florida,1,P,18.363706,-66.562509,787,72,54,28824,7440,-4,N,
652,PR,Garrochales,Arecibo,1,P,18.464356,-66.570133,787,72,13,30286,470,-4,N,
653,PR,Guanica,Guanica,1,P,17.97161,-66.907846,787,72,55,31189,0,-4,N,
656,PR,Guayanilla,Guayanilla,1,P,18.023421,-66.790983,787,72,59,32307,6360,-4,N,
659,PR,Hatillo,Hatillo,1,P,18.487788,-66.825498,787,72,65,33296,470,-4,N,
660,PR,Hormigueros,Hormigueros,1,P,18.141993,-67.126645,787,72,67,35059,4840,-4,N,
662,PR,Isabela,Isabela,1,P,18.499834,-67.022913,787,72,71,36478,0,-4,N,
664,PR,Jayuya,Jayuya,1,P,18.219824,-66.592926,787,72,73,38370,0,-4,N,
667,PR,Lajas,Lajas,1,P,18.042225,-67.056319,787,72,79,40950,0,-4,N,
669,PR,Lares,Lares,1,P,18.295108,-66.883956,787,72,81,42498,0,-4,N,
670,PR,Las Marias,Las Marias,1,P,18.250956,-66.990861,787,72,83,43788,0,-4,N,
674,PR,Manati,Manati,1,P,18.430958,-66.484242,787,72,91,50152,7440,-4,N,
676,PR,Moca,Moca,1,P,18.3966,-67.114157,787,72,99,53807,60,-4,N,
677,PR,Rincon,Rincon,1,P,18.340953,-67.252636,787,72,117,69588,0,-4,N,
678,PR,Quebradillas,Quebradillas,1,P,18.475841,-66.936284,787,72,115,68040,0,-4,N,
680,PR,Mayaguez,Mayaguez,1,P,18.203568,-67.143361,787,72,97,52431,4840,-4,N,
681,PR,Mayaguez,Mayaguez,1,P,18.203568,-67.143361,787,72,97,52431,4840,-4,N,E
682,PR,Mayaguez,Mayaguez,1,P,18.203056,-67.14,787,72,97,52431,4840,-4,N,
683,PR,San German,San German,1,P,18.084687,-67.0455,787,72,125,76167,4840,-4,N,
685,PR,San Sebastian,San Sebastian,1,P,18.337985,-66.995937,787,72,131,77500,0,-4,N,
687,PR,Morovis,Morovis,1,P,18.326822,-66.405195,787,72,101,55097,7440,-4,N,
688,PR,Sabana Hoyos,Arecibo,1,P,18.428979,-66.612076,787,72,13,73716,470,-4,N,
690,PR,San Antonio,Aguadilla,1,P,18.49731,-67.097023,787,72,5,75608,60,-4,N,
692,PR,Vega Alta,Vega Alta,1,P,18.416617,-66.321965,787,72,143,85197,7440,-4,N,
693,PR,Vega Baja,Vega Baja,1,P,18.442827,-66.399706,787,72,145,85326,7440,-4,N,
694,PR,Vega Baja,Vega Baja,1,P,18.442827,-66.399706,787,72,145,85326,7440,-4,N,E
698,PR,Yauco,Yauco,1,P,18.036563,-66.861964,787,72,153,88035,6360,-4,N,
703,PR,Aguas Buenas,Aguas Buenas,1,P,18.259409,-66.105429,787,72,7,874,7440,-4,N,
704,PR,Aguirre,Salinas,1,P,17.9758,-66.2205,787,72,123,1125,0,-4,N,
705,PR,Aibonito,Aibonito,1,P,18.141786,-66.266096,787,72,9,1218,0,-4,N,
707,PR,Maunabo,Maunabo,1,P,18.009413,-65.899498,787,72,95,52345,0,-4,N,
714,PR,Arroyo,Arroyo,1,P,17.970815,-66.062111,787,72,15,3927,0,-4,N,
715,PR,Mercedita,Ponce,1,P,18.012014,-66.587538,787,72,113,53033,6360,-4,N,
716,PR,Mercedita,Ponce,1,A,18.013056,-66.614444,787,72,113,53033,6360,-4,N,
717,PR,Ponce,Ponce,1,P,18.00321,-66.6124,787,72,113,63820,6360,-4,N,
718,PR,Naguabo,Naguabo,1,P,18.213178,-65.736066,787,72,103,55828,7440,-4,N,
719,PR,Naranjito,Naranjito,1,P,18.302453,-66.245465,787,72,105,56129,7440,-4,N,
720,PR,Orocovis,Orocovis,1,P,18.231245,-66.390221,787,72,107,57290,0,-4,N,
721,PR,Palmer,Rio Grande,1,P,18.372368,-65.774493,787,72,119,58666,7440,-4,N,E
723,PR,Patillas,Patillas,1,P,18.007797,-66.014884,787,72,109,60472,0,-4,N,
725,PR,Caguas,Caguas,1,P,18.234271,-66.039357,787,72,25,10334,1310,-4,N,
726,PR,Caguas,Caguas,1,P,18.234271,-66.039357,787,72,25,10334,1310,-4,N,E
727,PR,Caguas,Caguas,1,P,18.234271,-66.039357,787,72,25,10334,1310,-4,N,
728,PR,Ponce,Ponce,1,P,18.00891,-66.66351,787,72,113,63820,6360,-4,N,
